Date,Close
2019-11-25,30.240000
2019-11-26,28.680000
2019-11-27,30.240000
2019-11-29,30.000000
2019-12-02,29.280001
2019-12-03,29.639999
2019-12-04,29.760000
2019-12-05,29.280001
2019-12-06,29.160000
2019-12-09,31.440001
2019-12-10,30.240000
2019-12-11,29.400000
2019-12-12,31.200001
2019-12-13,31.559999
2019-12-16,30.480000
2019-12-17,28.200001
2019-12-18,26.280001
2019-12-19,27.240000
2019-12-20,27.000000
2019-12-23,24.120001
2019-12-24,23.879999
2019-12-26,24.000000
2019-12-27,22.920000
2019-12-30,22.920000
2019-12-31,25.920000
2020-01-02,24.240000
2020-01-03,24.000000
2020-01-06,22.799999
2020-01-07,21.959999
2020-01-08,20.879999
2020-01-09,22.320000
2020-01-10,19.799999
2020-01-13,20.400000
2020-01-14,21.480000
2020-01-15,24.600000
2020-01-16,25.799999
2020-01-17,25.559999
2020-01-21,24.120001
2020-01-22,24.480000
2020-01-23,24.840000
2020-01-24,23.879999
2020-01-27,22.680000
2020-01-28,23.639999
2020-01-29,23.160000
2020-01-30,23.280001
2020-01-31,22.680000
2020-02-03,24.000000
2020-02-04,25.680000
2020-02-05,25.440001
2020-02-06,24.011999
2020-02-07,20.400000
2020-02-10,18.719999
2020-02-11,18.480000
2020-02-12,17.520000
2020-02-13,17.639999
2020-02-14,18.959999
2020-02-18,19.680000
2020-02-19,20.520000
2020-02-20,20.160000
2020-02-21,20.040001
2020-02-24,18.600000
2020-02-25,18.120001
2020-02-26,18.120001
2020-02-27,17.400000
2020-02-28,16.080000
2020-03-02,16.320000
2020-03-03,15.960000
2020-03-04,16.559999
2020-03-05,15.720000
2020-03-06,14.040000
2020-03-09,11.388000
2020-03-10,11.760000
2020-03-11,10.308000
2020-03-12,8.400000
2020-03-13,9.240000
2020-03-16,8.304000
2020-03-17,8.520000
2020-03-18,7.500000
2020-03-19,7.944000
2020-03-20,8.760000
2020-03-23,8.196000
2020-03-24,8.604000
2020-03-25,8.952000
2020-03-26,10.860000
2020-03-27,12.360000
2020-03-30,10.656000
2020-03-31,10.872000
2020-04-01,9.708000
2020-04-02,9.996000
2020-04-03,9.720000
2020-04-06,9.600000
2020-04-07,9.600000
2020-04-08,10.224000
2020-04-09,10.512000
2020-04-13,9.120000
2020-04-14,9.000000
2020-04-15,8.508000
2020-04-16,8.028000
2020-04-17,8.280000
2020-04-20,8.580000
2020-04-21,8.640000
2020-04-22,8.616000
2020-04-23,8.592000
2020-04-24,8.760000
2020-04-27,9.120000
2020-04-28,9.096000
2020-04-29,9.048000
2020-04-30,8.880000
2020-05-01,8.436000
2020-05-04,8.520000
2020-05-05,8.388000
2020-05-06,8.304000
2020-05-07,8.328000
2020-05-08,8.064000
2020-05-11,7.410000
2020-05-12,6.460000
2020-05-13,5.800000
2020-05-14,6.640000
